log10mKate,log10EBFP2,sgRNA,uORF,log10obsEYFP,log10predEYFP
5.02499999992731,4.12499999929546,1,1,5.94448616411052,5.76830047582036
5.02499999992731,5.12499999994681,1,1,6.70885966489663,6.70083675151828
5.02499999992731,6.12499999994681,1,1,7.43685004985891,7.16483220438497
5.02499999992731,4.37500000079453,1,1,6.00461438585072,5.9962003454289
5.02499999992731,5.37500000006196,1,1,7.13756980276412,6.87519910240983
5.02499999992731,6.37500000006196,1,1,7.67027429202847,7.2077300943333
5.02499999992731,4.62499999955861,1,1,6.14898416510269,6.24351252896262
5.02499999992731,5.62499999997056,1,1,7.34832572406758,7.00669563053835
5.02499999992731,6.62499999997056,1,1,7.46377637735194,7.23581864637883
5.02499999992731,4.87499999980746,1,1,6.47215013341802,6.48589087068066
5.02499999992731,5.8749999999812,1,1,7.40129300770283,7.10051368095596
3.07499998997415,2.12499985925522,1,1,5.57100007364211,5.1457529379925
3.07499998997415,3.12499998952521,1,1,5.233599604797,5.24827451704923
3.07499998997415,4.12499999929546,1,1,5.51569407281164,5.54620136107965
3.07499998997415,5.12499999994681,1,1,5.93568802076477,6.14340587375045
3.07499998997415,2.37500005390526,1,1,5.02538226118721,5.16132282554671
3.07499998997415,3.37499999896312,1,1,5.21711497649106,5.29786269931457
3.07499998997415,4.37500000079453,1,1,5.76306763726285,5.66927977365954
3.07499998997415,2.62499999646899,1,1,5.16855235555076,5.18236573042693
3.07499998997415,3.62499999646899,1,1,5.25165033867665,5.36223505252616
3.07499998997415,4.62499999955861,1,1,6.04724410383374,5.81260393391055
3.07499998997415,2.87499999459519,1,1,5.23923044960465,5.21062903481084
3.07499998997415,3.8750000003866,1,1,5.31695212220483,5.44423298614
3.07499998997415,4.87499999980746,1,1,6.23377083171675,5.97269537673013
4.12499999929546,4.12499999929546,1,1,5.46928026242563,5.65837433136714
4.12499999929546,5.12499999994681,1,1,6.30695922680551,6.46061731623669
4.12499999929546,3.37499999896312,1,1,5.22319257755529,5.31027446236959
4.12499999929546,4.37500000079453,1,1,5.69869783844386,5.83606560095683
4.12499999929546,5.37500000006196,1,1,6.53894667506763,6.65090783773088
4.12499999929546,3.62499999646899,1,1,5.25914256347461,5.39666216429252
4.12499999929546,4.62499999955861,1,1,6.07302885283047,6.03796041994941
4.12499999929546,5.62499999997056,1,1,6.46852390745221,6.81262957746707
4.12499999929546,3.8750000003866,1,1,5.38850629161292,5.51162372120536
4.12499999929546,4.87499999980746,1,1,6.25610524906133,6.2514253216972
4.12499999929546,5.8749999999812,1,1,6.56652054763924,6.94231908586764
5.17499999997259,5.12499999994681,1,1,6.83332128939699,6.73630475000453
5.17499999997259,6.12499999994681,1,1,7.52985392483038,7.1785990187215
5.17499999997259,4.37500000079453,1,1,6.28461979375448,6.02399847363254
